,Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
19,BG,99.3,Consumer Defensive,Farm Products,13953636352.0,6.2539363,0.57,20357373952.0,2731000064.0,0.04958,0.04354,0.39,457000000.0,-3049999872.0,0.06413,0.36060002,0.37,7.454,2.049324,0.635844,7.97,1.694,0.495,91.225,140520000.0,1.321,3.09
20,BLDR,71.72,Industrials,Building Products & Equipment,13734451200.0,9.345843,0.48,18084827136.0,2435069696.0,0.13688,0.07998,1.4,109999184.0,1008137984.0,0.16900998,0.43570998,1.017,7.427,2.5487757,2.290927,6.52,2.081,1.243,52.113,191500992.0,3.082,
21,STLD,63.95,Basic Materials,Steel,12690941952.0,5.810995,0.11,14599159808.0,3496568064.0,0.22272,0.14723,1.183,-234196368.0,1618188032.0,0.19538,0.47814,0.93,4.175,2.278152,1.508051,12.49,2.915,1.455,54.673,198451008.0,9.319,2.25
22,WHR,204.54,Consumer Cyclical,"Furnishings, Fixtures & Appliances",12424393728.0,6.524194,1.01,15959966720.0,3152999936.0,0.14353,0.09059,0.037,1496000000.0,2387000064.0,0.08039,0.4284,0.727,5.062,2.5134866,1.751647,25.16,1.173,0.731,118.62,60743100.0,0.213,2.94
23,JLL,242.66,Real Estate,Real Estate Services,12246662144.0,16.045757,1.71,17528412160.0,1351600000.0,0.13265,0.07756,0.341,211575008.0,961900032.0,0.044320002,0.14123,1.72,12.969,2.096125,1.295584,18.23,1.087,0.615,69.03,50468400.0,0.813,
24,DVA,115.49,Healthcare,Medical Care Facilities,11768430592.0,13.487096,0.9,24189396992.0,2433944064.0,0.21018,0.08331,0.005,797304384.0,1885785984.0,0.06367,0.41874,2.089,9.938,10.3624935,1.237709,8.38,1.625,1.508,437.564,101900000.0,0.844,
25,SBSW,16.52,Basic Materials,Gold,11622497280.0,4.2709413,1.79,4641058816.0,72350302208.0,0.44571,0.27576,0.635,21833363456.0,37203701760.0,0.29925,0.71443003,0.029,0.064,0.14808707,1.365427,1.51,2.733,1.473,20.968,703540992.0,1.497,
26,WFG,96.53,Basic Materials,Lumber & Wood Production,10289228800.0,3.2910573,0.12,8339470848.0,4525834240.0,0.45133,0.29127002,0.86,2798936576.0,3594216704.0,0.36093,0.61209,0.832,1.843,1.3913032,2.105263,12.5,2.855,2.081,7.079,104587000.0,0.1,0.99
27,OC,98.07,Industrials,Building Products & Equipment,9854759936.0,10.394276,0.37,11647521792.0,1922000000.0,0.23179,0.12060001,0.162,1036625024.0,1586000000.0,0.09275,0.24493,1.405,6.06,2.3667254,1.551168,9.5,1.864,1.222,73.641,100487000.0,0.33,1.35
28,AGCO,128.01,Industrials,Farm & Heavy Construction Machinery,9579525120.0,12.934221,0.53,10539529216.0,1218000000.0,0.11383,0.07012,0.091,290124992.0,713900032.0,0.06927,0.24927999,0.985,8.653,3.0230963,1.330461,10.48,1.355,0.449,55.944,74834200.0,0.148,0.82
29,CLF,19.09,Basic Materials,Steel,9546737664.0,4.686963,0.14,17254113280.0,4233999872.0,0.24398,0.12441,2.648,-331550016.0,1440999936.0,0.16226,0.8146,0.994,4.075,2.3889375,2.175874,5.81,2.179,0.729,124.709,500091008.0,,
30,NRG,38.43,Utilities,Utilities—Independent Power Producers,9409163264.0,3.8522456,0.12,18973024256.0,5106999808.0,0.23245001,0.11111,1.353,615875008.0,2305999872.0,0.13147001,0.81204003,0.864,3.715,2.3067226,0.84,3.7,1.213,0.268,215.718,244839008.0,5.471,1.38
31,AU,22.0,Basic Materials,Gold,9181589504.0,10.357815,0.62,9296975872.0,1815000064.0,0.4098,0.20185,-0.068,740875008.0,1516999936.0,0.109239995,0.27438,2.099,5.122,2.406739,-0.003982,2.1,2.363,1.545,54.505,417344992.0,-0.367,
32,DKS,103.85,Consumer Cyclical,Specialty Retail,8994023424.0,7.986618,0.39,11352900608.0,2235229952.0,0.18524,0.11547,0.139,1206890368.0,1641900032.0,0.15383,0.59898996,0.941,5.079,3.3778949,1.762077,11.04,1.516,0.548,120.727,62910300.0,0.511,2.19
33,UGI,38.04,Utilities,Utilities—Regulated Gas,7959185408.0,5.49711,2.05,15142113280.0,2369999872.0,0.28945,0.13031,0.384,-154250000.0,736000000.0,0.07387,0.21785,1.849,6.389,1.4990543,1.010939,3.39,1.329,0.782,132.823,209232000.0,,2.64
34,BAK,19.55,Basic Materials,Chemicals,7781544448.0,3.0923758,0.13,44299096064.0,27126507520.0,0.28212,0.14873,0.77,7525192704.0,14392802304.0,0.1665,6.08657,0.461,1.633,0.60964197,1.025663,4.25,1.332,0.823,469.148,398032992.0,,
35,TX,37.15,Basic Materials,Steel,7292842496.0,2.0137684,2.35,10591304704.0,5119158784.0,0.35696998,0.25254,1.147,811857984.0,1897090944.0,0.20218,0.43019,0.739,2.069,0.75149184,1.556883,11.01,2.501,1.327,15.735,196308000.0,,
36,AN,109.83,Consumer Cyclical,Auto & Truck Dealerships,7198049792.0,7.7777777,0.27,11627960320.0,1864700032.0,0.07445,0.04541,0.18,2080375040.0,1602499968.0,0.118039995,0.39815,0.464,6.236,3.0545666,1.434805,17.79,0.978,0.301,177.832,65538100.0,1.498,
37,EHC,65.91,Healthcare,Medical Care Facilities,6557550592.0,16.225998,0.82,10556601344.0,1072300032.0,0.21372,0.08104,0.094,194212496.0,871699968.0,0.07681,0.24323,2.104,9.845,3.5588553,1.003636,4.42,1.146,0.923,150.73,99492496.0,0.283,1.69
38,X,24.09,Basic Materials,Steel,6509912576.0,2.0189407,0.21,7836920320.0,3927000064.0,0.22811002,0.18320999,1.549,1531750016.0,2892000000.0,0.13668,0.54794997,0.455,1.996,0.82232463,2.109477,9.53,1.687,1.087,56.706,270232992.0,,0.89
39,SID,4.74,Basic Materials,Steel,6471948288.0,2.4648986,3.05,21396170752.0,20523018240.0,0.43348,0.31861,0.176,13766689792.0,17446408192.0,0.16847,1.1085501,0.452,1.043,0.32392535,1.435398,0.76,1.514,1.011,129.966,1356029952.0,0.064,
40,LPX,69.13,Industrials,Building Products & Equipment,6082693120.0,4.940327,1.14,6543366656.0,1984999936.0,0.44899,0.32549,0.533,1212125056.0,1604000000.0,0.53367,1.13676,1.48,3.296,4.559124,1.71948,7.82,2.803,2.002,27.233,87989200.0,1.465,
41,TDC,48.91,Technology,Information Technology Services,5306735104.0,46.36019,1.17,4357360128.0,379000000.0,0.19607,0.06156,0.013,358624992.0,424000000.0,0.0691,0.283,2.254,11.497,11.601044,1.143436,1.81,1.114,0.958,134.136,108500000.0,,
42,ESGR,277.23,Financial Services,Insurance—Diversified,5097095680.0,4.9196997,,-470184576.0,1173099008.0,0.736,0.76723,,795179904.0,4533858816.0,0.02873,0.19272,-0.295,-0.401,0.82449794,0.586772,20.5,12.247,9.703,26.058,16788100.0,,
43,ATKR,105.16,Industrials,Electrical Equipment & Parts,4874334208.0,8.626744,0.44,5407004160.0,879875008.0,0.3005,0.20076999,0.935,480212864.0,572902016.0,0.26579002,0.94575995,1.847,6.145,5.5936174,2.436883,8.57,2.708,2.098,92.561,46351600.0,2.864,
44,ABG,186.33,Consumer Cyclical,Auto & Truck Dealerships,4310875136.0,7.532746,0.37,4961332224.0,726899968.0,0.07719,0.05108,0.304,868262528.0,985900032.0,0.12088,0.45523,0.527,6.825,2.7693474,1.535064,28.72,1.745,0.815,143.433,23135700.0,0.52,
45,VNT,24.48,Technology,Scientific & Technical Instruments,4138588672.0,9.5438595,1.27,7354924032.0,681699968.0,0.22607,0.14505,0.029,485124992.0,552600000.0,0.11143,0.42425,2.439,10.789,8.793103,,3.01,1.515,1.081,555.542,169060000.0,-0.104,
